couple,condition,start_frame,trial
158,3,213,trial2
159,1,211,trial0
159,2,196,trial1
159,3,193,trial2
160,1,215,trial0
160,2,195,trial1
160,3,198,trial2
161,1,226,trial0
161,2,195,trial1
161,3,203,trial2
163,1,196,trial0
163,2,205,trial1
163,3,208,trial2
164,1,556,trial0
164,2,199,trial1
164,3,226,trial2
165,1,203,trial0
165,2,193,trial1
165,3,222,trial2
166,1,204,trial0
166,2,198,trial1
166,3,215,trial2
167,2,325,trial0
167,3,316,trial1
167,1,324,trial2
168,1,200,trial0
168,2,201,trial1
168,3,207,trial2
169,1,205,trial0
169,2,193,trial1
169,3,204,trial2
170,1,205,trial0
170,2,189,trial1
170,3,232,trial2
171,1,202,trial0
171,2,200,trial1
171,3,202,trial2
172,1,205,trial0
172,2,191,trial1
172,3,211,trial2
173,1,222,trial0
173,2,212,trial1
173,3,211,trial2
174,1,199,trial0
174,2,183,trial1
174,3,198,trial2
175,1,200,trial0
175,2,175,trial1
175,3,200,trial2
176,1,210,trial0
176,2,195,trial1
176,3,196,trial2
177,1,198,trial0
177,2,200,trial1
177,3,206,trial2
178,1,213,trial0
178,2,200,trial1
178,3,200,trial2
179,1,222,trial0
179,2,194,trial1
179,3,202,trial2
180,1,209,trial0
180,2,198,trial1
180,3,200,trial2
181,1,194,trial0
181,2,194,trial1
181,3,193,trial2
182,1,198,trial0
182,2,196,trial1
182,3,204,trial2
183,1,200,trial0
183,2,200,trial1
183,3,221,trial2
184,1,208,trial0
184,2,191,trial1
184,3,195,trial2
185,1,204,trial0
185,2,175,trial1
185,3,199,trial2
186,1,213,trial0
186,2,202,trial1
186,3,215,trial2
187,2,200,trial0
187,3,293,trial1
187,1,290,trial2
188,1,196,trial0
188,2,187,trial1
188,3,189,trial2
189,1,202,trial0
189,2,193,trial1
189,3,214,trial2
190,1,203,trial0
190,2,190,trial1
190,3,196,trial2
191,1,205,trial0
191,2,189,trial1
191,3,191,trial2
192,1,197,trial0
192,2,193,trial1
192,3,191,trial2
193,1,194,trial0
193,2,189,trial1
193,3,196,trial2
194,1,194,trial0
194,2,199,trial1
194,3,337,trial2
195,1,199,trial0
195,2,200,trial1
195,3,201,trial2
196,1,194,trial0
196,2,194,trial1
196,3,200,trial2
197,1,195,trial0
197,2,188,trial1
197,3,191,trial2
198,1,200,trial0
198,2,186,trial1
198,3,192,trial2
199,1,205,trial0
199,2,193,trial1
199,3,250,trial2
